flight_date,airport,Dest,Reporting_Airline,Flight_Number_Reporting_Airline,sched_dep,cancelled
2026-06-10,BNA,DTW,DL,2439,2026-06-10 06:05:00,False
2026-06-10,BNA,BOS,DL,2509,2026-06-10 07:13:00,False
2026-06-10,BNA,ATL,DL,719,2026-06-10 18:54:00,False
2026-06-10,BNA,LAX,DL,769,2026-06-10 19:28:00,False
2026-06-10,BNA,DTW,DL,1557,2026-06-10 14:06:00,False
2026-06-10,BNA,SLC,DL,1593,2026-06-10 14:01:00,False
2026-06-10,BNA,SEA,DL,1710,2026-06-10 17:00:00,False
2026-06-10,BNA,MSP,DL,2612,2026-06-10 18:44:00,False
2026-06-10,BNA,ATL,DL,2637,2026-06-10 05:10:00,False
2026-06-10,BNA,BOS,DL,2677,2026-06-10 17:45:00,False
2026-06-10,BNA,DTW,DL,2682,2026-06-10 10:00:00,False
2026-06-10,BNA,MSP,DL,2724,2026-06-10 10:02:00,False
2026-06-10,BNA,LGA,DL,2748,2026-06-10 16:50:00,False
2026-06-10,BNA,ATL,DL,2802,2026-06-10 07:30:00,False
2026-06-10,BNA,MSP,DL,2843,2026-06-10 16:05:00,False
2026-06-10,BNA,LAX,DL,891,2026-06-10 06:25:00,False
2026-06-10,BNA,SLC,DL,1068,2026-06-10 07:35:00,False
2026-06-10,BNA,BOS,DL,2141,2026-06-10 11:14:00,False
2026-06-10,BNA,ATL,DL,2867,2026-06-10 12:38:00,False
2026-06-10,BNA,ATL,DL,3001,2026-06-10 06:15:00,False
2026-06-10,BNA,ATL,DL,3069,2026-06-10 09:48:00,False
2026-06-10,BNA,ATL,DL,1155,2026-06-10 10:49:00,False
2026-06-10,BNA,SLC,DL,2209,2026-06-10 19:36:00,False
2026-06-10,BNA,MSP,DL,2221,2026-06-10 06:00:00,False
2026-06-10,BNA,ATL,DL,2250,2026-06-10 08:30:00,False
2026-06-10,BNA,DTW,DL,2316,2026-06-10 17:41:00,False
2026-06-10,BNA,ATL,DL,3142,2026-06-10 16:59:00,False
2026-06-10,BNA,ATL,DL,3159,2026-06-10 14:30:00,False
2026-06-10,BNA,DEN,F9,1401,2026-06-10 12:09:00,False
2026-06-10,BNA,MCO,F9,3560,2026-06-10 17:19:00,False
2026-06-10,BNA,BZN,G4,316,2026-06-10 07:00:00,False
2026-06-10,BNA,ORD,MQ,3439,2026-06-10 10:42:00,False
2026-06-10,BNA,TPA,MQ,3823,2026-06-10 13:30:00,False
2026-06-10,BNA,TPA,MQ,3825,2026-06-10 08:30:00,False
2026-06-10,BNA,DFW,MQ,3925,2026-06-10 18:43:00,False
2026-06-10,BNA,ORD,MQ,3973,2026-06-10 09:04:00,False
2026-06-10,BNA,DFW,OH,5475,2026-06-10 19:32:00,False
2026-06-10,BNA,CLT,OH,5081,2026-06-10 08:18:00,False
2026-06-10,BNA,CLT,OH,5083,2026-06-10 10:34:00,False
2026-06-10,BNA,DCA,OH,5085,2026-06-10 11:40:00,False
2026-06-10,BNA,PHL,OH,5576,2026-06-10 08:56:00,False
2026-06-10,BNA,AUS,OO,3945,2026-06-10 18:50:00,False
2026-06-10,BNA,AUS,OO,3960,2026-06-10 11:25:00,False
2026-06-10,BNA,AUS,OO,4146,2026-06-10 07:05:00,False
2026-06-10,BNA,ORD,OO,4964,2026-06-10 07:02:00,False
2026-06-10,BNA,IAH,OO,5252,2026-06-10 08:40:00,False
2026-06-10,BNA,EWR,UA,2690,2026-06-10 08:15:00,False
2026-06-10,BNA,ORD,UA,2465,2026-06-10 07:40:00,False
2026-06-10,BNA,IAH,UA,2339,2026-06-10 15:08:00,False
2026-06-10,BNA,EWR,UA,2175,2026-06-10 09:25:00,False
2026-06-10,BNA,EWR,UA,2174,2026-06-10 13:15:00,False
2026-06-10,BNA,IAD,UA,2125,2026-06-10 13:35:00,False
2026-06-10,BNA,ORD,UA,1884,2026-06-10 17:00:00,False
2026-06-10,BNA,DEN,UA,1766,2026-06-10 14:29:00,False
2026-06-10,BNA,DEN,UA,1716,2026-06-10 07:00:00,False
2026-06-10,BNA,IAD,UA,1709,2026-06-10 08:30:00,False
2026-06-10,BNA,ORD,UA,1616,2026-06-10 12:49:00,False
2026-06-10,BNA,IAD,UA,1460,2026-06-10 18:30:00,False
2026-06-10,BNA,IAH,UA,1366,2026-06-10 11:10:00,False
2026-06-10,BNA,SFO,UA,1293,2026-06-10 06:31:00,False
2026-06-10,BNA,DEN,UA,1268,2026-06-10 17:30:00,False
2026-06-10,BNA,DEN,UA,502,2026-06-10 10:26:00,False
2026-06-10,BNA,EWR,UA,499,2026-06-10 19:06:00,False
2026-06-10,BNA,ORD,UA,424,2026-06-10 06:00:00,False
2026-06-10,BNA,ORD,UA,343,2026-06-10 09:47:00,False
2026-06-10,BNA,SFO,UA,298,2026-06-10 14:54:00,False
2026-06-10,BNA,IAH,UA,286,2026-06-10 06:30:00,False
2026-06-10,BNA,EWR,UA,284,2026-06-10 07:00:00,False
2026-06-10,BNA,ABQ,WN,4621,2026-06-10 15:35:00,False
2026-06-10,BNA,ALB,WN,429,2026-06-10 11:15:00,False
2026-06-10,BNA,ATL,WN,447,2026-06-10 18:50:00,False
2026-06-10,BNA,ATL,WN,893,2026-06-10 11:10:00,False
2026-06-10,BNA,ATL,WN,2054,2026-06-10 15:45:00,False
2026-06-10,BNA,AUS,WN,294,2026-06-10 17:20:00,False
2026-06-10,BNA,AUS,WN,433,2026-06-10 06:00:00,False
2026-06-10,BNA,AUS,WN,451,2026-06-10 14:35:00,False
2026-06-10,BNA,AUS,WN,454,2026-06-10 21:40:00,False
2026-06-10,BNA,AUS,WN,4149,2026-06-10 08:10:00,False
2026-06-10,BNA,BDL,WN,4369,2026-06-10 12:00:00,False
2026-06-10,BNA,BHM,WN,434,2026-06-10 10:15:00,False
2026-06-10,BNA,BHM,WN,4559,2026-06-10 21:35:00,False
2026-06-10,BNA,BOS,WN,459,2026-06-10 19:55:00,False
2026-06-10,BNA,BOS,WN,4372,2026-06-10 13:30:00,False
2026-06-10,BNA,BOS,WN,4560,2026-06-10 10:05:00,False
2026-06-10,BNA,BUF,WN,4728,2026-06-10 11:35:00,False
2026-06-10,BNA,BUR,WN,1293,2026-06-10 16:55:00,False
2026-06-10,BNA,BWI,WN,462,2026-06-10 06:50:00,False
2026-06-10,BNA,BWI,WN,467,2026-06-10 17:15:00,False
2026-06-10,BNA,BWI,WN,468,2026-06-10 20:10:00,False
2026-06-10,BNA,BWI,WN,1345,2026-06-10 12:05:00,False
2026-06-10,BNA,BWI,WN,2994,2026-06-10 13:55:00,False
2026-06-10,BNA,CHS,WN,470,2026-06-10 13:40:00,False
2026-06-10,BNA,CHS,WN,3932,2026-06-10 10:40:00,False
2026-06-10,BNA,CHS,WN,3939,2026-06-10 18:00:00,False
2026-06-10,BNA,CLE,WN,224,2026-06-10 16:00:00,False
2026-06-10,BNA,CLE,WN,474,2026-06-10 19:45:00,False
2026-06-10,BNA,CLE,WN,4571,2026-06-10 10:10:00,False
2026-06-10,BNA,CLT,WN,478,2026-06-10 15:25:00,False
2026-06-10,BNA,CLT,WN,2239,2026-06-10 10:15:00,False
2026-06-10,BNA,CLT,WN,4518,2026-06-10 19:40:00,False
2026-06-10,BNA,CMH,WN,481,2026-06-10 16:20:00,False
2026-06-10,BNA,CMH,WN,850,2026-06-10 19:40:00,False
2026-06-10,BNA,CMH,WN,4427,2026-06-10 11:00:00,False
2026-06-10,BNA,CVG,WN,463,2026-06-10 10:05:00,False
2026-06-10,BNA,CVG,WN,4522,2026-06-10 19:40:00,False
2026-06-10,BNA,DAL,WN,485,2026-06-10 05:00:00,False
2026-06-10,BNA,DAL,WN,487,2026-06-10 12:00:00,False
2026-06-10,BNA,DAL,WN,489,2026-06-10 17:45:00,False
2026-06-10,BNA,DAL,WN,490,2026-06-10 19:15:00,False
2026-06-10,BNA,DAL,WN,1173,2026-06-10 07:10:00,False
2026-06-10,BNA,DAL,WN,1758,2026-06-10 14:40:00,False
2026-06-10,BNA,DAL,WN,3230,2026-06-10 21:35:00,False
2026-06-10,BNA,DCA,WN,497,2026-06-10 20:30:00,False
2026-06-10,BNA,DCA,WN,1183,2026-06-10 16:10:00,False
2026-06-10,BNA,DCA,WN,3529,2026-06-10 05:40:00,False
2026-06-10,BNA,DCA,WN,4380,2026-06-10 13:10:00,False
2026-06-10,BNA,DCA,WN,4562,2026-06-10 11:15:00,False
2026-06-10,BNA,DEN,WN,499,2026-06-10 08:10:00,False
2026-06-10,BNA,DEN,WN,500,2026-06-10 11:55:00,False
2026-06-10,BNA,DEN,WN,503,2026-06-10 13:55:00,False
2026-06-10,BNA,DEN,WN,504,2026-06-10 16:50:00,False
2026-06-10,BNA,DEN,WN,505,2026-06-10 17:55:00,False
2026-06-10,BNA,DEN,WN,800,2026-06-10 05:30:00,False
2026-06-10,BNA,DTW,WN,507,2026-06-10 10:10:00,False
2026-06-10,BNA,DTW,WN,509,2026-06-10 19:45:00,False
2026-06-10,BNA,DTW,WN,4815,2026-06-10 16:50:00,False
2026-06-10,BNA,ECP,WN,168,2026-06-10 18:20:00,False
2026-06-10,BNA,ECP,WN,510,2026-06-10 08:10:00,False
2026-06-10,BNA,ECP,WN,2176,2026-06-10 12:30:00,False
2026-06-10,BNA,FLL,WN,684,2026-06-10 11:30:00,False
2026-06-10,BNA,FLL,WN,1105,2026-06-10 06:40:00,False
2026-06-10,BNA,FLL,WN,4069,2026-06-10 18:30:00,False
2026-06-10,BNA,FLL,WN,4847,2026-06-10 15:20:00,False
2026-06-10,BNA,GSP,WN,2089,2026-06-10 16:50:00,False
2026-06-10,BNA,GSP,WN,4563,2026-06-10 19:50:00,False
2026-06-10,BNA,GSP,WN,4622,2026-06-10 10:05:00,False
2026-06-10,BNA,HOU,WN,532,2026-06-10 08:10:00,False
2026-06-10,BNA,HOU,WN,533,2026-06-10 14:35:00,False
2026-06-10,BNA,HOU,WN,534,2026-06-10 18:25:00,False
2026-06-10,BNA,HOU,WN,4430,2026-06-10 05:25:00,False
2026-06-10,BNA,HOU,WN,4474,2026-06-10 21:40:00,False
2026-06-10,BNA,IND,WN,537,2026-06-10 10:10:00,False
2026-06-10,BNA,IND,WN,539,2026-06-10 19:40:00,False
2026-06-10,BNA,JAN,WN,2040,2026-06-10 17:25:00,False
2026-06-10,BNA,JAX,WN,541,2026-06-10 10:05:00,False
2026-06-10,BNA,JAX,WN,4624,2026-06-10 18:30:00,False
2026-06-10,BNA,LAS,WN,544,2026-06-10 06:45:00,False
2026-06-10,BNA,LAS,WN,546,2026-06-10 11:50:00,False
2026-06-10,BNA,LAS,WN,548,2026-06-10 18:30:00,False
2026-06-10,BNA,LAS,WN,2830,2026-06-10 16:15:00,False
2026-06-10,BNA,LAS,WN,4833,2026-06-10 09:15:00,False
2026-06-10,BNA,LAX,WN,375,2026-06-10 21:50:00,False
2026-06-10,BNA,LAX,WN,1821,2026-06-10 08:00:00,False
2026-06-10,BNA,LAX,WN,2713,2026-06-10 17:55:00,False
2026-06-10,BNA,LGA,WN,1966,2026-06-10 10:00:00,False
2026-06-10,BNA,LGA,WN,2144,2026-06-10 19:50:00,False
2026-06-10,BNA,LGA,WN,2735,2026-06-10 06:30:00,False
2026-06-10,BNA,LGA,WN,4731,2026-06-10 12:35:00,False
2026-06-10,BNA,LGB,WN,1427,2026-06-10 17:55:00,False
2026-06-10,BNA,LIT,WN,1400,2026-06-10 08:10:00,False
2026-06-10,BNA,LIT,WN,4687,2026-06-10 21:40:00,False
2026-06-10,BNA,MCI,WN,562,2026-06-10 17:40:00,False
2026-06-10,BNA,MCI,WN,563,2026-06-10 21:45:00,False
2026-06-10,BNA,MCI,WN,4240,2026-06-10 14:50:00,False
2026-06-10,BNA,MCI,WN,4289,2026-06-10 08:05:00,False
2026-06-10,BNA,MCO,WN,564,2026-06-10 05:00:00,False
2026-06-10,BNA,MCO,WN,565,2026-06-10 06:40:00,False
2026-06-10,BNA,MCO,WN,569,2026-06-10 15:00:00,False
2026-06-10,BNA,MCO,WN,571,2026-06-10 18:00:00,False
2026-06-10,BNA,MCO,WN,572,2026-06-10 20:40:00,False
2026-06-10,BNA,MCO,WN,787,2026-06-10 16:25:00,False
2026-06-10,BNA,MCO,WN,3338,2026-06-10 11:45:00,False
2026-06-10,BNA,MCO,WN,4712,2026-06-10 10:10:00,False
2026-06-10,BNA,MCO,WN,4714,2026-06-10 08:05:00,False
2026-06-10,BNA,MDW,WN,573,2026-06-10 05:20:00,False
2026-06-10,BNA,MDW,WN,578,2026-06-10 21:40:00,False
2026-06-10,BNA,MDW,WN,1430,2026-06-10 12:55:00,False
2026-06-10,BNA,MDW,WN,1473,2026-06-10 09:20:00,False
2026-06-10,BNA,MDW,WN,2241,2026-06-10 15:30:00,False
2026-06-10,BNA,MDW,WN,4286,2026-06-10 19:40:00,False
2026-06-10,BNA,MEM,WN,579,2026-06-10 08:05:00,False
2026-06-10,BNA,MEM,WN,580,2026-06-10 21:40:00,False
2026-06-10,BNA,MIA,WN,581,2026-06-10 12:35:00,False
2026-06-10,BNA,MIA,WN,4575,2026-06-10 18:30:00,False
2026-06-10,BNA,MKE,WN,585,2026-06-10 08:00:00,False
2026-06-10,BNA,MKE,WN,4519,2026-06-10 21:35:00,False
2026-06-10,BNA,MKE,WN,4733,2026-06-10 15:40:00,False
2026-06-10,BNA,MSP,WN,2160,2026-06-10 08:00:00,False
2026-06-10,BNA,MSP,WN,4690,2026-06-10 21:50:00,False
2026-06-10,BNA,MSY,WN,594,2026-06-10 08:05:00,False
2026-06-10,BNA,MSY,WN,595,2026-06-10 14:20:00,False
2026-06-10,BNA,MSY,WN,597,2026-06-10 21:45:00,False
2026-06-10,BNA,MSY,WN,3869,2026-06-10 17:15:00,False
2026-06-10,BNA,MYR,WN,598,2026-06-10 11:10:00,False
2026-06-10,BNA,MYR,WN,603,2026-06-10 18:00:00,False
2026-06-10,BNA,OKC,WN,608,2026-06-10 21:45:00,False
2026-06-10,BNA,OKC,WN,2242,2026-06-10 08:05:00,False
2026-06-10,BNA,OMA,WN,609,2026-06-10 13:20:00,False
2026-06-10,BNA,OMA,WN,5089,2026-06-10 20:25:00,False
2026-06-10,BNA,ONT,WN,855,2026-06-10 15:30:00,False
2026-06-10,BNA,ORF,WN,2848,2026-06-10 13:05:00,False
2026-06-10,BNA,PBI,WN,1678,2026-06-10 10:50:00,False
2026-06-10,BNA,PHL,WN,623,2026-06-10 10:05:00,False
2026-06-10,BNA,PHL,WN,626,2026-06-10 13:55:00,False
2026-06-10,BNA,PHL,WN,634,2026-06-10 19:50:00,False
2026-06-10,BNA,PHX,WN,639,2026-06-10 14:20:00,False
2026-06-10,BNA,PHX,WN,642,2026-06-10 19:05:00,False
2026-06-10,BNA,PHX,WN,643,2026-06-10 21:35:00,False
2026-06-10,BNA,PHX,WN,761,2026-06-10 05:45:00,False
2026-06-10,BNA,PHX,WN,3770,2026-06-10 08:00:00,False
2026-06-10,BNA,PIT,WN,1489,2026-06-10 10:05:00,False
2026-06-10,BNA,PIT,WN,1850,2026-06-10 16:30:00,False
2026-06-10,BNA,PIT,WN,4135,2026-06-10 19:45:00,False
2026-06-10,BNA,PNS,WN,647,2026-06-10 08:10:00,False
2026-06-10,BNA,PNS,WN,1426,2026-06-10 12:05:00,False
2026-06-10,BNA,PNS,WN,4630,2026-06-10 18:30:00,False
2026-06-10,BNA,PVD,WN,4525,2026-06-10 14:25:00,False
2026-06-10,BNA,PWM,WN,651,2026-06-10 11:40:00,False
2026-06-10,BNA,RDU,WN,162,2026-06-10 10:10:00,False
2026-06-10,BNA,RDU,WN,653,2026-06-10 15:10:00,False
2026-06-10,BNA,RDU,WN,4431,2026-06-10 19:40:00,False
2026-06-10,BNA,RDU,WN,4820,2026-06-10 16:40:00,False
2026-06-10,BNA,RIC,WN,267,2026-06-10 12:25:00,False
2026-06-10,BNA,RSW,WN,657,2026-06-10 13:30:00,False
2026-06-10,BNA,RSW,WN,658,2026-06-10 18:00:00,False
2026-06-10,BNA,SAN,WN,659,2026-06-10 08:05:00,False
2026-06-10,BNA,SAN,WN,1978,2026-06-10 19:35:00,False
2026-06-10,BNA,SAN,WN,4111,2026-06-10 11:55:00,False
2026-06-10,BNA,SAN,WN,4253,2026-06-10 16:05:00,False
2026-06-10,BNA,SAT,WN,663,2026-06-10 08:00:00,False
2026-06-10,BNA,SAT,WN,665,2026-06-10 21:40:00,False
2026-06-10,BNA,SAT,WN,4371,2026-06-10 16:20:00,False
2026-06-10,BNA,SAV,WN,667,2026-06-10 10:15:00,False
2026-06-10,BNA,SAV,WN,1016,2026-06-10 15:20:00,False
2026-06-10,BNA,SAV,WN,4716,2026-06-10 18:20:00,False
2026-06-10,BNA,SDF,WN,650,2026-06-10 10:10:00,False
2026-06-10,BNA,SDF,WN,671,2026-06-10 19:45:00,False
2026-06-10,BNA,SEA,WN,4784,2026-06-10 17:15:00,False
2026-06-10,BNA,SFO,WN,2541,2026-06-10 13:05:00,False
2026-06-10,BNA,SJC,WN,674,2026-06-10 16:40:00,False
2026-06-10,BNA,SLC,WN,4791,2026-06-10 16:50:00,False
2026-06-10,BNA,SMF,WN,3361,2026-06-10 17:25:00,False
2026-06-10,BNA,SRQ,WN,677,2026-06-10 12:15:00,False
2026-06-10,BNA,SRQ,WN,4615,2026-06-10 18:20:00,False
2026-06-10,BNA,STL,WN,679,2026-06-10 06:25:00,False
2026-06-10,BNA,STL,WN,682,2026-06-10 21:45:00,False
2026-06-10,BNA,STL,WN,770,2026-06-10 16:05:00,False
2026-06-10,BNA,STL,WN,1371,2026-06-10 13:30:00,False
2026-06-10,BNA,TPA,WN,668,2026-06-10 11:25:00,False
2026-06-10,BNA,TPA,WN,685,2026-06-10 14:45:00,False
2026-06-10,BNA,TPA,WN,686,2026-06-10 17:15:00,False
2026-06-10,BNA,TPA,WN,687,2026-06-10 19:45:00,False
2026-06-10,BNA,TPA,WN,2544,2026-06-10 05:05:00,False
2026-06-10,BNA,TUL,WN,2055,2026-06-10 21:45:00,False
2026-06-10,BNA,TUL,WN,3704,2026-06-10 08:00:00,False
2026-06-10,BNA,TYS,WN,694,2026-06-10 18:30:00,False
2026-06-10,BNA,TYS,WN,4206,2026-06-10 10:15:00,False
2026-06-10,BNA,VPS,WN,482,2026-06-10 19:55:00,False
2026-06-10,BNA,VPS,WN,4353,2026-06-10 08:15:00,False
2026-06-10,BNA,LGA,YX,4364,2026-06-10 10:37:00,False
2026-06-10,BNA,LGA,YX,4411,2026-06-10 06:00:00,False
2026-06-10,BNA,LGA,YX,4481,2026-06-10 17:24:00,False
2026-06-10,BNA,DCA,YX,4495,2026-06-10 17:18:00,False
2026-06-10,BNA,JFK,YX,4545,2026-06-10 12:53:00,False
2026-06-10,BNA,RDU,YX,4596,2026-06-10 16:53:00,False
2026-06-10,BNA,RDU,YX,4639,2026-06-10 12:00:00,False
2026-06-10,BNA,DCA,YX,4648,2026-06-10 06:01:00,False
2026-06-10,BNA,JFK,YX,4712,2026-06-10 08:33:00,False
2026-06-10,BNA,LGA,YX,5688,2026-06-10 09:25:00,False
2026-06-10,BNA,DCA,YX,5708,2026-06-10 06:05:00,False
2026-06-10,BNA,DCA,YX,5769,2026-06-10 11:40:00,False
2026-06-10,BNA,DCA,YX,5786,2026-06-10 17:00:00,False
2026-06-10,BNA,EWR,YX,3511,2026-06-10 15:35:00,False
2026-06-10,BNA,ORD,YX,3418,2026-06-10 11:15:00,False
2026-06-10,BNA,MIA,AA,487,2026-06-10 07:31:00,False
2026-06-10,BNA,DFW,AA,1475,2026-06-10 15:21:00,False
2026-06-10,BNA,DFW,AA,1476,2026-06-10 09:53:00,False
2026-06-10,BNA,CLT,AA,1486,2026-06-10 15:01:00,False
2026-06-10,BNA,CLT,AA,1497,2026-06-10 19:06:00,False
2026-06-10,BNA,MIA,AA,1501,2026-06-10 17:27:00,False
2026-06-10,BNA,PHL,AA,1506,2026-06-10 15:43:00,False
2026-06-10,BNA,DFW,AA,1515,2026-06-10 08:01:00,False
2026-06-10,BNA,DFW,AA,1520,2026-06-10 12:42:00,False
2026-06-10,BNA,MIA,AA,1521,2026-06-10 10:47:00,False
2026-06-10,BNA,DFW,AA,1522,2026-06-10 16:49:00,False
2026-06-10,BNA,CLT,AA,1526,2026-06-10 16:29:00,False
2026-06-10,BNA,ORD,AA,1570,2026-06-10 17:50:00,False
2026-06-10,BNA,LAX,AA,2123,2026-06-10 18:53:00,False
2026-06-10,BNA,DFW,AA,2787,2026-06-10 06:00:00,False
2026-06-10,BNA,PHL,AA,2809,2026-06-10 06:22:00,False
2026-06-10,BNA,DFW,AA,2821,2026-06-10 05:01:00,False
2026-06-10,BNA,DFW,AA,2952,2026-06-10 11:11:00,False
2026-06-10,BNA,PHX,AA,2972,2026-06-10 14:18:00,False
2026-06-10,BNA,CLT,AA,1065,2026-06-10 05:30:00,False
2026-06-10,BNA,LGA,AA,2302,2026-06-10 14:25:00,False
2026-06-10,BNA,PHX,AA,3086,2026-06-10 07:15:00,False
2026-06-10,BNA,PHL,AA,3130,2026-06-10 13:09:00,False
2026-06-10,BNA,PHL,AA,3221,2026-06-10 12:17:00,False
2026-06-10,BNA,LAX,AA,3237,2026-06-10 07:19:00,False
2026-06-10,BNA,DCA,AA,1163,2026-06-10 19:50:00,False
2026-06-10,BNA,MIA,AA,1342,2026-06-10 05:47:00,False
2026-06-10,BNA,DFW,AA,2583,2026-06-10 07:01:00,False
2026-06-10,BNA,CLT,AA,2692,2026-06-10 07:13:00,False
2026-06-10,BNA,SEA,AS,281,2026-06-10 07:02:00,False
2026-06-10,BNA,SEA,AS,469,2026-06-10 18:03:00,False
2026-06-10,BNA,SEA,AS,623,2026-06-10 09:25:00,False
2026-06-10,BNA,PDX,AS,1689,2026-06-10 16:43:00,False
2026-06-10,BNA,JFK,B6,1174,2026-06-10 17:35:00,False
2026-06-10,BNA,BOS,B6,806,2026-06-10 06:51:00,False
2026-06-10,BNA,BOS,B6,506,2026-06-10 19:56:00,False
2026-06-10,BNA,BOS,B6,1806,2026-06-10 12:36:00,False
2026-06-10,BNA,JFK,B6,244,2026-06-10 11:10:00,False
2026-06-10,BNA,LAX,DL,355,2026-06-10 14:59:00,False
2026-06-10,BNA,SEA,DL,372,2026-06-10 07:00:00,False
