airport,layout,checkpoint,share,lane_hours,cost,p95_wait,p95_wait_mc_halfwidth,mean_wait,n_pax
ATL,pooled,all,1.0,584.0,93440.0,1.7138007177768533,0.22752984821861527,0.41932432508583856,82102.63333333333
ATL,"split, same lanes",Main Checkpoint,0.2787200529479138,165.0,26400.0,7.745328105899892,1.7854117926555915,2.243412923645075,22855.6
ATL,"split, same lanes",T South Checkpoint,0.23803568397143735,143.0,22880.0,4.453435378874679,0.6827746034394476,1.08458147545238,19495.666666666668
ATL,"split, same lanes",F Departure Checkpoint,0.15694844669644986,93.0,14880.0,13.346702185500863,1.8744833729535009,4.82899324278256,12897.1
ATL,"split, same lanes",New T North Checkpoint,0.1304981272683905,78.0,12480.0,16.872650352501836,2.832076146517415,5.996128218570317,10712.033333333333
ATL,"split, same lanes",Lower North Checkpoint,0.121941366202298,76.0,12160.0,9.039976110659731,1.1909634656449666,2.6547593168191357,10000.533333333333
ATL,"split, same lanes",E Concourse Checkpoint,0.07385632291351053,47.0,7520.0,36.153167670378814,6.288424510818589,11.125638654387576,6058.5
ATL,"split, re-optimised",Main Checkpoint,0.2787200529479138,172.0,27520.0,3.2558415119474358,0.44760835677141897,0.7136072924070053,22881.366666666665
ATL,"split, re-optimised",T South Checkpoint,0.23803568397143735,152.0,24320.0,2.8725473552571175,0.44289828711697676,0.6562184790524992,19499.866666666665
ATL,"split, re-optimised",F Departure Checkpoint,0.15694844669644986,108.0,17280.0,2.992199568082237,0.4893118846922271,0.5776715436437115,12890.0
ATL,"split, re-optimised",New T North Checkpoint,0.1304981272683905,92.0,14720.0,2.3839554892056642,0.2139250581382108,0.48507250551870384,10705.0
ATL,"split, re-optimised",Lower North Checkpoint,0.121941366202298,88.0,14080.0,3.876757993558708,0.7257702988919794,0.7508090177480388,10023.733333333334
ATL,"split, re-optimised",E Concourse Checkpoint,0.07385632291351053,56.0,8960.0,5.41876088599792,0.8102111267176524,1.0233917360006763,6071.0
BNA,pooled,all,1.0,252.0,40320.0,2.4230258501886244,0.3113185239355863,0.5454681839606556,33386.0
