arrive_hour,n_pax,mean_wait,p95_wait,p95_wait_mc_halfwidth,max_wait,clock_hour,airport,date,lanes
3,1030.9,0.0,0.0,0.0,0.0,3,ATL,2026-06-26,23
4,2641.0,0.08436275325775308,0.5168752454238458,0.18233715291610006,0.799675989076303,4,ATL,2026-06-26,23
5,5047.966666666666,9.57453208494568,21.18831635995931,0.6908632864293109,22.662666004135577,5,ATL,2026-06-26,23
6,6280.366666666667,43.508999049654655,62.75787513094058,1.3727025471508971,64.96290738807252,6,ATL,2026-06-26,23
7,6502.9,87.66333880209453,108.34507408405511,1.8247356340114782,110.85712014934951,7,ATL,2026-06-26,23
8,6291.333333333333,132.92099672302214,151.4931757141973,2.148258655085808,153.57954272124127,8,ATL,2026-06-26,23
9,5195.433333333333,167.25756124020532,177.93333716661041,2.151464797740641,179.2739254285883,9,ATL,2026-06-26,23
10,4362.066666666667,185.81395808564827,190.33613549499208,2.318924352697193,190.93383140864697,10,ATL,2026-06-26,23
11,4309.633333333333,195.89900862302835,200.77704254745473,2.2601025226559823,201.4440689919619,11,ATL,2026-06-26,23
12,4863.466666666666,210.434968228284,219.5832486013365,2.3845912823102835,220.90451177171656,12,ATL,2026-06-26,23
13,5047.733333333334,232.4502717546798,242.12168635575102,2.6549951539930117,243.25951716876074,13,ATL,2026-06-26,23
14,4694.9,251.8533018911181,258.38835920598075,2.5899191445919425,259.17947008431366,14,ATL,2026-06-26,23
15,4404.033333333334,265.47426617356894,270.4889163145984,2.9114428042970437,271.1435810393139,15,ATL,2026-06-26,23
16,4043.3,273.93016423478105,276.31720324170885,2.742865754002466,276.71230094544495,16,ATL,2026-06-26,23
17,3985.766666666667,278.17102892773414,280.478842759872,2.889914553170764,281.04260860503234,17,ATL,2026-06-26,23
18,4234.033333333334,285.573329737446,289.8141651840485,3.1449057263742852,290.29276069891256,18,ATL,2026-06-26,23
19,3690.133333333333,291.16900157184205,292.46302868282186,3.3319330064775086,292.7438179631198,19,ATL,2026-06-26,23
20,3203.366666666667,288.0140102673197,290.89459602857954,3.3854266866510385,291.2389409104304,20,ATL,2026-06-26,23
21,2084.1,275.20932574559686,282.8433132740481,3.473929157912677,283.42811108382506,21,ATL,2026-06-26,23
22,194.53333333333333,247.96597136376664,256.8646594997654,3.488394672219777,257.5808780145959,22,ATL,2026-06-26,23
25,22.566666666666666,31.956812506102676,46.7011908797786,4.303871735591747,50.67724045977472,1,ATL,2026-06-26,23
3,1111.7333333333333,0.16927221537210005,0.8282776278071523,0.2153453546052557,1.2336033189664524,3,BNA,2026-06-21,10
4,2057.733333333333,7.969015709976172,16.71666020939211,1.0574766954727841,17.972805296900905,4,BNA,2026-06-21,10
5,2719.9333333333334,37.67629818528664,57.07980740327029,1.8016484580349883,59.441050557199574,5,BNA,2026-06-21,10
6,2832.1666666666665,82.56290415496868,102.8197139452173,2.3884783373863243,104.75681059729399,6,BNA,2026-06-21,10
7,2199.233333333333,117.01459383153906,125.36766622038431,2.7901699533319957,126.12124492373486,7,BNA,2026-06-21,10
8,2193.1666666666665,135.50995297392072,145.85448730025888,3.311654716869021,147.37876619091497,8,BNA,2026-06-21,10
9,2120.4333333333334,158.8237297059747,166.86109042930136,3.2723273184636303,167.5893474000406,9,BNA,2026-06-21,10
10,1882.6333333333334,172.75651264486817,178.10692985566274,3.5373015429673837,178.74770899889498,10,BNA,2026-06-21,10
11,1992.5333333333333,184.68615559495896,191.7025839017331,3.68117681860172,192.68489154082044,11,BNA,2026-06-21,10
12,2006.8666666666666,200.7869864131255,206.88722397945082,3.740896768516875,207.63871766456936,12,BNA,2026-06-21,10
13,1715.6333333333334,210.08155980610496,212.32289002693838,3.8246689516623658,212.86763697226215,13,BNA,2026-06-21,10
14,1559.2333333333333,210.08051616362616,212.17629557038953,3.912281999306111,212.648879214297,14,BNA,2026-06-21,10
15,1681.6,210.81540596356217,212.74343812363406,3.993100431980406,213.1909434365689,15,BNA,2026-06-21,10
16,1719.1666666666667,214.3586597458663,217.40738699318086,4.178933288565636,217.9526143260442,16,BNA,2026-06-21,10
17,1737.6,220.37031516020653,223.26532457152751,4.429315183988461,223.75491769753867,17,BNA,2026-06-21,10
18,1371.4666666666667,220.09233831554272,223.3196132646395,4.370722714303846,223.74960023621873,18,BNA,2026-06-21,10
19,1016.0,204.09595271099295,213.02958467287957,4.6945624479143095,214.1137906305418,19,BNA,2026-06-21,10
20,757.2666666666667,177.0130854894316,190.42243748897351,4.7388159426383,191.73874522709497,20,BNA,2026-06-21,10
21,612.6666666666666,143.55511856364532,158.5949021944252,4.842964224699984,160.19391475547064,21,BNA,2026-06-21,10
22,121.46666666666667,113.87760955822488,122.46163923358871,5.130726322349064,123.13776686393491,22,BNA,2026-06-21,10
25,2.24,0.0,0.0,0.0,0.0,1,BNA,2026-06-21,10
