airport,date,round,margin,required_lane_hours,plan_lane_hours,cost,n_violating_slots,worst_slot_p95,overall_p95,overall_p95_mc
ATL,2026-06-07,1,0.0,519.0,572.0,91520.0,0,6.466213323138869,1.6244739305715228,0.3071798662818539
ATL,2026-06-08,1,0.0,526.0,580.0,92800.0,0,5.632268494744044,2.0453351935638993,0.36972147500237124
ATL,2026-06-09,1,0.0,504.0,564.0,90240.0,0,7.480819468198591,1.869042581605548,0.5903897716766245
ATL,2026-06-10,1,0.0,500.0,556.0,88960.0,0,3.6261937090305785,1.6936508752596964,0.24415631132038798
ATL,2026-06-11,1,0.0,521.0,576.0,92160.0,0,5.865368558089229,2.250447092868718,0.5562411231232425
ATL,2026-06-12,1,0.0,513.5,572.0,91520.0,0,7.023082385138691,2.316783021845121,0.4729687584542238
ATL,2026-06-13,1,0.0,442.0,488.0,78080.0,0,5.376351989176277,1.7650625057894427,0.5432506205629358
ATL,2026-06-20,1,0.0,438.0,480.0,76800.0,0,5.107969302254281,1.678210617303824,0.2303919953369394
ATL,2026-06-26,1,0.0,528.5,584.0,93440.0,0,6.726350765904695,1.566624873335216,0.32108863832145046
BNA,2026-06-07,1,0.0,220.5,248.0,39680.0,0,2.5794485658485913,2.1800960237064664,0.39951582370255445
BNA,2026-06-08,1,0.0,220.0,248.0,39680.0,0,2.8928870700874776,2.029187227546681,0.3380912640951437
BNA,2026-06-09,1,0.0,204.0,228.0,36480.0,0,4.773122735150784,2.7981317863703667,0.8284778329318551
BNA,2026-06-10,1,0.0,206.5,232.0,37120.0,0,3.356957899149502,2.959203895700157,0.6061780628156878
BNA,2026-06-11,1,0.0,218.0,252.0,40320.0,0,2.1899645361702675,2.0188896859852172,0.702667681316219
BNA,2026-06-12,1,0.0,217.5,248.0,39680.0,0,2.7456325887840927,2.0583045680083805,0.4516196945661959
BNA,2026-06-13,1,0.0,185.5,212.0,33920.0,0,3.5564378683901134,3.91307796079957,1.540942281633914
BNA,2026-06-21,1,0.0,222.0,252.0,40320.0,0,5.311312774558216,2.2559447621312705,0.31982989706415654
BNA,2026-06-27,1,0.0,185.0,216.0,34560.0,0,2.1991768000124727,1.8944575661707546,0.23053079215932343
