slot,n_pax,mean_wait,p95_wait,p95_wait_mc_halfwidth,airport,date,plan
0,379.1,0.03214449084348793,0.21652054050588426,0.08981856556659155,ATL,2026-06-07,optimised
1,624.6,0.6686242792401321,1.8410402341581504,0.38389226256167397,ATL,2026-06-07,optimised
2,995.7666666666667,0.015090161850320792,0.09480224058908718,0.09558806720026203,ATL,2026-06-07,optimised
3,1551.1333333333334,0.48316662404121924,1.4099350652777252,0.3223664705632757,ATL,2026-06-07,optimised
4,2141.4666666666667,0.060171328874334996,0.36181770175671624,0.1914558953166968,ATL,2026-06-07,optimised
5,2720.866666666667,0.4871287947941666,1.3037307066424928,0.15751132465725512,ATL,2026-06-07,optimised
6,3082.3,0.6281153716431103,1.2423306362339983,0.22263418645265978,ATL,2026-06-07,optimised
7,3182.3,0.7560826466147942,1.239122645695631,0.34782835746407087,ATL,2026-06-07,optimised
8,3298.3,0.8779607349921486,1.3841298944151086,0.37570135199129084,ATL,2026-06-07,optimised
9,3323.0666666666666,0.8439385002635034,1.31692300552765,0.4193440415931913,ATL,2026-06-07,optimised
10,3302.1666666666665,1.0178082094523822,1.5419740994912488,0.43214952549771235,ATL,2026-06-07,optimised
11,3048.133333333333,0.5028281716385181,1.0930561190656074,0.4028925851186344,ATL,2026-06-07,optimised
12,2659.9666666666667,0.5979455463845007,1.1330043573669941,0.28267674765505935,ATL,2026-06-07,optimised
13,2384.733333333333,0.15824276201836385,0.5682020142008849,0.1821481383404709,ATL,2026-06-07,optimised
14,2119.8,0.15854274426966447,0.46360676927128314,0.11693595433340352,ATL,2026-06-07,optimised
15,2019.2333333333333,0.06604887065967385,0.33220113726671907,0.1007064568836934,ATL,2026-06-07,optimised
16,2137.9666666666667,0.2817025405827184,0.7678281953560055,0.17177913642639325,ATL,2026-06-07,optimised
17,2192.133333333333,0.45296039464909904,0.9100542252059427,0.20319408226965052,ATL,2026-06-07,optimised
18,2321.5333333333333,0.28803806331642234,0.7256983915579517,0.1736443274606001,ATL,2026-06-07,optimised
19,2427.3,0.41465178939695335,0.9149948957597346,0.1952535057498864,ATL,2026-06-07,optimised
20,2421.3,0.688836836348726,1.1705823929458652,0.25371952071724607,ATL,2026-06-07,optimised
21,2447.866666666667,0.7033196357388586,1.2552291471850585,0.28540551550737775,ATL,2026-06-07,optimised
22,2354.766666666667,0.9324258513740981,1.481435221536186,0.515500548238403,ATL,2026-06-07,optimised
23,2177.133333333333,0.5065617671321802,0.9570003207378962,0.49780870041880776,ATL,2026-06-07,optimised
24,2213.6,0.6151582934419291,1.224812037671938,0.33092741175534457,ATL,2026-06-07,optimised
25,2118.6,0.5870615163147826,1.1284884876088648,0.30486312300136525,ATL,2026-06-07,optimised
26,1965.5333333333333,0.1825485084454314,0.5496485051340695,0.27349051843817895,ATL,2026-06-07,optimised
27,1884.4,0.035410667217842674,0.1952633299476254,0.053282458919599734,ATL,2026-06-07,optimised
28,1871.5,0.056931723295014315,0.2880627149368309,0.06523789760042253,ATL,2026-06-07,optimised
29,2035.5,0.3646096487643476,0.8933139712788187,0.16542039166526526,ATL,2026-06-07,optimised
30,2145.8,0.008158319616408316,0.07060240519807508,0.05549759682170479,ATL,2026-06-07,optimised
31,2146.866666666667,0.00027066924709958376,4.6596988455955005e-05,9.132841918313254e-05,ATL,2026-06-07,optimised
32,1938.8,0.000653436752798791,0.0016927297101926725,0.002271916908866036,ATL,2026-06-07,optimised
33,1813.2,0.00033171438693978153,0.0,0.0,ATL,2026-06-07,optimised
34,1669.0,0.581381847449562,1.2094067410889702,0.23205781276230464,ATL,2026-06-07,optimised
35,1531.0333333333333,0.49862222922834404,1.1415794610916117,0.3124280638694896,ATL,2026-06-07,optimised
36,1295.0333333333333,0.7004437151571793,1.334172045062957,0.3239404944559467,ATL,2026-06-07,optimised
37,804.2666666666667,0.0934711347091086,0.3606909472479127,0.2838438326598079,ATL,2026-06-07,optimised
38,190.23333333333332,3.403025894280904,5.811589164338479,0.7846102266613266,ATL,2026-06-07,optimised
39,8.033333333333333,0.005117173122169636,0.020468692488678542,0.04011790009784997,ATL,2026-06-07,optimised
40,0.0,0.0,0.0,0.0,ATL,2026-06-07,optimised
41,0.0,0.0,0.0,0.0,ATL,2026-06-07,optimised
