airport,flight_date,flights,cancelled_share
ATL,2026-06-01,938,0.0
ATL,2026-06-02,887,0.0022497187851518562
ATL,2026-06-03,894,0.0011173184357541898
ATL,2026-06-04,939,0.0
ATL,2026-06-05,937,0.0
ATL,2026-06-06,778,0.0012836970474967907
ATL,2026-06-07,928,0.008547008547008548
ATL,2026-06-08,941,0.004232804232804233
ATL,2026-06-09,894,0.0011173184357541898
ATL,2026-06-10,886,0.012263099219620958
ATL,2026-06-11,932,0.010615711252653927
ATL,2026-06-12,920,0.024390243902439025
ATL,2026-06-13,781,0.006361323155216285
ATL,2026-06-14,844,0.09344790547798067
ATL,2026-06-15,892,0.056084656084656084
ATL,2026-06-16,892,0.004464285714285714
ATL,2026-06-17,893,0.005567928730512249
ATL,2026-06-18,864,0.08085106382978724
ATL,2026-06-19,906,0.03719447396386823
ATL,2026-06-20,773,0.011508951406649617
ATL,2026-06-21,924,0.0064516129032258064
ATL,2026-06-22,929,0.015889830508474576
ATL,2026-06-23,887,0.008938547486033519
ATL,2026-06-24,896,0.0
ATL,2026-06-25,941,0.0010615711252653928
ATL,2026-06-26,943,0.0
ATL,2026-06-27,787,0.0012690355329949238
ATL,2026-06-28,864,0.0023094688221709007
ATL,2026-06-29,856,0.002331002331002331
ATL,2026-06-30,843,0.002366863905325444
BNA,2026-06-01,339,0.0
BNA,2026-06-02,300,0.0033222591362126247
BNA,2026-06-03,307,0.006472491909385114
BNA,2026-06-04,337,0.0
BNA,2026-06-05,337,0.008823529411764706
BNA,2026-06-06,273,0.010869565217391304
BNA,2026-06-07,341,0.011594202898550725
BNA,2026-06-08,341,0.0029239766081871343
BNA,2026-06-09,314,0.0
BNA,2026-06-10,314,0.01875
BNA,2026-06-11,331,0.03498542274052478
BNA,2026-06-12,330,0.03508771929824561
BNA,2026-06-13,278,0.010676156583629894
BNA,2026-06-14,339,0.017391304347826087
BNA,2026-06-15,337,0.014619883040935672
BNA,2026-06-16,312,0.006369426751592357
BNA,2026-06-17,316,0.0125
BNA,2026-06-18,340,0.002932551319648094
BNA,2026-06-19,327,0.035398230088495575
BNA,2026-06-20,277,0.0035971223021582736
BNA,2026-06-21,345,0.0
BNA,2026-06-22,336,0.01466275659824047
BNA,2026-06-23,312,0.006369426751592357
BNA,2026-06-24,318,0.0
BNA,2026-06-25,341,0.0
BNA,2026-06-26,339,0.0029411764705882353
BNA,2026-06-27,273,0.017985611510791366
BNA,2026-06-28,336,0.002967359050445104
BNA,2026-06-29,335,0.0
BNA,2026-06-30,305,0.00974025974025974
