airport,date,modelled_pax,role
ATL,2026-06-07,81183.65296064304,anchor_week
ATL,2026-06-08,82189.61759443315,anchor_week
ATL,2026-06-09,78726.85123943865,anchor_week
ATL,2026-06-10,78115.66450022405,anchor_week
ATL,2026-06-11,81578.35212273957,anchor_week
ATL,2026-06-12,80577.89277528737,anchor_week
ATL,2026-06-13,68874.27908496534,anchor_week
ATL,2026-06-20,68009.69519776535,quietest
ATL,2026-06-26,82389.37581519522,busiest
BNA,2026-06-07,33256.746021618725,anchor_week
BNA,2026-06-08,33055.20733738582,anchor_week
BNA,2026-06-09,30657.322896816208,anchor_week
BNA,2026-06-10,31112.212280411506,anchor_week
BNA,2026-06-11,32748.32824302099,anchor_week
BNA,2026-06-12,32617.66355453294,anchor_week
BNA,2026-06-13,27652.63149251681,anchor_week
BNA,2026-06-21,33669.49574776984,busiest
BNA,2026-06-27,27166.30650613867,quietest
