airport,date,factor,value,daily_pax,peak_lanes,lane_hours,cost,p95_wait,p95_wait_mc_halfwidth,optimiser_rounds
ATL,2026-06-26,show-up shift vs fitted (min),-15.0,82224.13954462446,42,576.0,92160.0,1.7443556964989262,0.16870996604502053,1
ATL,2026-06-26,show-up shift vs fitted (min),0.0,82125.98233823011,41,584.0,93440.0,1.881762604626372,0.34408636991424896,1
ATL,2026-06-26,show-up shift vs fitted (min),15.0,81992.48225550816,42,580.0,92800.0,1.6932429003742395,0.30880525580226714,1
ATL,2026-06-26,screening mean (s),12.5,82125.98233823011,38,528.0,84480.0,2.202669149306323,0.36405269425058584,1
ATL,2026-06-26,screening mean (s),14.5,82125.98233823011,41,584.0,93440.0,2.135344974844676,0.3564647029295173,1
ATL,2026-06-26,screening mean (s),17.0,82125.98233823011,46,644.0,103040.0,1.6206014997017997,0.21999480773621669,1
ATL,2026-06-26,load factor,0.8,76843.02441003987,39,544.0,87040.0,1.6940617711360795,0.18911236851293212,1
ATL,2026-06-26,load factor,0.855,82125.98233823011,41,584.0,93440.0,1.9299477152192412,0.2954698054303788,1
ATL,2026-06-26,load factor,0.9,86448.40246129487,43,612.0,97920.0,1.8852966434888698,0.22242280593225155,1
ATL,2026-06-26,screening yield delta,-0.1,70623.0150209267,36,504.0,80640.0,2.0715387833140135,0.31765240676092904,1
ATL,2026-06-26,screening yield delta,0.0,82125.98233823011,41,584.0,93440.0,1.7862061371231879,0.2513981704806121,1
ATL,2026-06-26,screening yield delta,0.1,93628.94965553352,46,668.0,106880.0,1.682213744448485,0.19397155329663487,1
BNA,2026-06-21,show-up shift vs fitted (min),-15.0,33543.32789932109,19,252.0,40320.0,2.4896157763769957,0.3152180899264973,1
BNA,2026-06-21,show-up shift vs fitted (min),0.0,33426.53264034059,19,252.0,40320.0,2.7844908387307092,0.4301114081578891,1
BNA,2026-06-21,show-up shift vs fitted (min),15.0,33264.09355898164,19,248.0,39680.0,2.3450514114487637,0.26691081101463887,1
BNA,2026-06-21,screening mean (s),12.5,33426.53264034059,17,228.0,36480.0,2.7155696865968335,0.3257800051827997,1
BNA,2026-06-21,screening mean (s),14.5,33426.53264034059,19,252.0,40320.0,2.536884093116627,0.35172415408936863,1
BNA,2026-06-21,screening mean (s),17.0,33426.53264034059,21,272.0,43520.0,2.3182380375389604,0.4801104936061763,1
BNA,2026-06-21,load factor,0.8,31276.287850611083,18,232.0,37120.0,2.1869491270301045,0.20927284799324236,1
BNA,2026-06-21,load factor,0.855,33426.53264034059,19,252.0,40320.0,2.9308206153282437,0.4626456660878646,1
BNA,2026-06-21,load factor,0.9,35185.823831937465,20,256.0,40960.0,2.1512329390942866,0.18588945177787536,1
BNA,2026-06-21,screening yield delta,-0.1,28985.264956318744,17,220.0,35200.0,2.3148278148327406,0.3784426688698638,1
BNA,2026-06-21,screening yield delta,0.0,33426.53264034059,19,252.0,40320.0,2.5282436762392915,0.4540979601453274,1
BNA,2026-06-21,screening yield delta,0.1,37867.80032436244,21,280.0,44800.0,2.071816198926731,0.24785073370483932,1
