airport,date,shift_hours,start_every_hours,shifts_bought,free_lane_hours,plan_lane_hours,cost,roster_overhead_pct,simulated_p95,simulated_p95_mc_halfwidth
ATL,2026-06-26,2.0,0.5,266,528.5,532.0,85120.0,0.6622516556291425,3.115115187932643,0.6786679562216756
ATL,2026-06-26,2.0,1.0,278,528.5,556.0,88960.0,5.203405865657529,,
ATL,2026-06-26,2.0,2.0,299,528.5,598.0,95680.0,13.150425733207193,,
ATL,2026-06-26,4.0,0.5,138,528.5,552.0,88320.0,4.446546830652798,,
ATL,2026-06-26,4.0,1.0,146,528.5,584.0,93440.0,10.501419110690623,1.7442460153552868,0.30650142945250003
ATL,2026-06-26,4.0,2.0,151,528.5,604.0,96640.0,14.28571428571428,,
ATL,2026-06-26,6.0,0.5,100,528.5,600.0,96000.0,13.528855250709547,,
ATL,2026-06-26,6.0,1.0,100,528.5,600.0,96000.0,13.528855250709547,,
ATL,2026-06-26,6.0,2.0,101,528.5,606.0,96960.0,14.664143803216657,,
ATL,2026-06-26,8.0,0.5,78,528.5,624.0,99840.0,18.070009460737936,,
ATL,2026-06-26,8.0,1.0,85,528.5,680.0,108800.0,28.66603595080417,,
ATL,2026-06-26,8.0,2.0,89,528.5,712.0,113920.0,34.720908230842,1.5309315831575996,0.2970777314932556
BNA,2026-06-21,2.0,0.5,115,222.0,230.0,36800.0,3.603603603603611,3.4840785058616524,0.5628241753570093
BNA,2026-06-21,2.0,1.0,119,222.0,238.0,38080.0,7.2072072072072,,
BNA,2026-06-21,2.0,2.0,125,222.0,250.0,40000.0,12.612612612612617,,
BNA,2026-06-21,4.0,0.5,62,222.0,248.0,39680.0,11.711711711711704,,
BNA,2026-06-21,4.0,1.0,63,222.0,252.0,40320.0,13.513513513513509,2.766211407653578,0.3319898377560597
BNA,2026-06-21,4.0,2.0,64,222.0,256.0,40960.0,15.315315315315313,,
BNA,2026-06-21,6.0,0.5,43,222.0,258.0,41280.0,16.216216216216207,,
BNA,2026-06-21,6.0,1.0,44,222.0,264.0,42240.0,18.918918918918926,,
BNA,2026-06-21,6.0,2.0,45,222.0,270.0,43200.0,21.62162162162162,,
BNA,2026-06-21,8.0,0.5,34,222.0,272.0,43520.0,22.522522522522515,,
BNA,2026-06-21,8.0,1.0,35,222.0,280.0,44800.0,26.126126126126124,,
BNA,2026-06-21,8.0,2.0,36,222.0,288.0,46080.0,29.729729729729737,1.7795818965173449,0.31903270661251315
